;Nr serie;Calibre;Modelo;Fabricante;Classificação;Outros
0;70414;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 70414 Número do Ferrolho:70414 Nr Impulsor Ferrolho:70414 Número da Baioneta:70414
1;70528;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 70528 Número do Ferrolho:70528 Nr Impulsor Ferrolho:70528 Número da Baioneta:70528
2;70708;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 70708 Número do Ferrolho:70708 Nr Impulsor Ferrolho:70708 Número da Baioneta:70708
3;70715;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 70715 Número do Ferrolho:70715 Nr Impulsor Ferrolho:70715 Número da Baioneta:70715
4;70785;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 70785 Número do Ferrolho:70785 Nr Impulsor Ferrolho:70785 Número da Baioneta:70785
5;70787;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 70787 Número do Ferrolho:70787 Nr Impulsor Ferrolho:70787 Número da Baioneta:70787
6;70907;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 70907 Número do Ferrolho:70907 Nr Impulsor Ferrolho:70907 Número da Baioneta:70907
7;70951;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 70951 Número do Ferrolho:70951 Nr Impulsor Ferrolho:70951 Número da Baioneta:70951
8;70983;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 70983 Número do Ferrolho:70983 Nr Impulsor Ferrolho:70983 Número da Baioneta:70983
9;71282;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 71282 Número do Ferrolho:71282 Nr Impulsor Ferrolho:71282 Número da Baioneta:71282
10;71335;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 71335 Número do Ferrolho:71335 Nr Impulsor Ferrolho:71335 Número da Baioneta:71335
11;71392;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 71392 Número do Ferrolho:71392 Nr Impulsor Ferrolho:71392 Número da Baioneta:71392
12;71415;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 71415 Número do Ferrolho:71415 Nr Impulsor Ferrolho:71415 Número da Baioneta:71415
13;71492;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 71492 Número do Ferrolho:71492 Nr Impulsor Ferrolho:71492 Número da Baioneta:71492
14;71521;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 71521 Número do Ferrolho:71521 Nr Impulsor Ferrolho:71521 Número da Baioneta:71521
15;71658;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 71658 Número do Ferrolho:71658 Nr Impulsor Ferrolho:71658 Número da Baioneta:71658
16;71717;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 71717 Número do Ferrolho:71717 Nr Impulsor Ferrolho:71717 Número da Baioneta:71717
17;72035;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 72035 Número do Ferrolho:72035 Nr Impulsor Ferrolho:72035 Número da Baioneta:72035
18;72509;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 72509 Número do Ferrolho:72509 Nr Impulsor Ferrolho:72509 Número da Baioneta:72509
19;72724;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 72724 Número do Ferrolho:72724 Nr Impulsor Ferrolho:72724 Número da Baioneta:72724
20;72783;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 72783 Número do Ferrolho:72783 Nr Impulsor Ferrolho:72783 Número da Baioneta:72783
21;72836;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 72836 Número do Ferrolho:72836 Nr Impulsor Ferrolho:72836 Número da Baioneta:72836
22;72967;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 72967 Número do Ferrolho:72967 Nr Impulsor Ferrolho:72967 Número da Baioneta:72967
23;73157;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 73157 Número do Ferrolho:73157 Nr Impulsor Ferrolho:73157 Número da Baioneta:73157
24;73197;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 73197 Número do Ferrolho:73197 Nr Impulsor Ferrolho:73197 Número da Baioneta:73197
25;73330;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 73330 Número do Ferrolho:73330 Nr Impulsor Ferrolho:73330 Número da Baioneta:73330
26;73492;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 73492 Número do Ferrolho:73492 Nr Impulsor Ferrolho:73492 Número da Baioneta:73492
27;73556;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 73556 Número do Ferrolho:73556 Nr Impulsor Ferrolho:73556 Número da Baioneta:73556
28;73696;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 73696 Número do Ferrolho:73696 Nr Impulsor Ferrolho:73696 Número da Baioneta:73696
29;73836;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 73836 Número do Ferrolho:73836 Nr Impulsor Ferrolho:73836 Número da Baioneta:73836
30;74045;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra:74045 Número do Ferrolho:74045 Nr Impulsor Ferrolho:74045 Número da Baioneta:74045
31;74195;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 74195 Número do Ferrolho:74195 Nr Impulsor Ferrolho:74195 Número da Baioneta:74195
32;74257;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra:74257 Número do Ferrolho:74257 Nr Impulsor Ferrolho:74257 Número da Baioneta:74257
33;74260;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 74260 Número do Ferrolho:74260 Nr Impulsor Ferrolho:74260 Número da Baioneta:74260
34;74576;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 74576 Número do Ferrolho:74576 Nr Impulsor Ferrolho:74576 Número da Baioneta:74576
35;74601;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 74601 Número do Ferrolho:74601 Nr Impulsor Ferrolho:74601 Número da Baioneta:74601
36;74606;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;Nr Caixa da Culatra: 74606 Número do Ferrolho:74606 Nr Impulsor Ferrolho:74606 Número da Baioneta:74606
