;Nr serie;Calibre;Modelo;Fabricante;Classificação;Outros
0;70668;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 70668 NºSérie da Baioneta: 70668
1;70865;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 70865 NºSérie da Baioneta: 70865
2;70885;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 70885 NºSérie da Baioneta: 70885
3;70927;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 70927 NºSérie da Baioneta: 70927
4;71450;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 71450 NºSérie da Baioneta: 71450
5;71560;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 71560 NºSérie da Baioneta: 71560
6;71685;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 71685 NºSérie da Baioneta: 71685
7;71738;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 71738 NºSérie da Baioneta: 71738
8;71747;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 71747 NºSérie da Baioneta: 71747
9;71979;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 71979 NºSérie da Baioneta: 71979
10;72113;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 72113 NºSérie da Baioneta: 72113
11;72499;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 72499 NºSérie da Baioneta: 72499
12;72697;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 72697 NºSérie da Baioneta: 72697
13;72802;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 72802 NºSérie da Baioneta: 72802
14;72957;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 72957 NºSérie da Baioneta: 72957
15;72962;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 72962 NºSérie da Baioneta: 72962
16;73008;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 73008 NºSérie da Baioneta: 73008
17;73524;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 73524 NºSérie da Baioneta: 73524
18;73887;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 73887 NºSérie da Baioneta: 73887
19;74070;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 74070 NºSérie da Baioneta: 74070
20;74172;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 74172 NºSérie da Baioneta: 74172
21;74691;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 74691 NºSérie da Baioneta:74691
22;74787;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 74787 NºSérie da Baioneta:74787
23;74790;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 74790 NºSérie da Baioneta:74790
24;75494;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 75494 NºSérie da Baioneta:75494
25;76074;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 76074 NºSérie da Baioneta:76074
26;76316;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 76316 NºSérie da Baioneta:76316
27;76345;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 76345 NºSérie da Baioneta:76345
28;76348;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 76348 NºSérie da Baioneta:76348
29;76631;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 76631 NºSérie da Baioneta:76631
30;76822;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 76822 NºSérie da Baioneta:76822
31;76869;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 76869 NºSérie da Baioneta:76869
32;77155;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 77155 NºSérie da Baioneta:77155
33;77206;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 77206 NºSérie da Baioneta: 77206
34;77337;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 77337 NºSérie da Baioneta: 77337
35;77374;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 77374 NºSérie da Baioneta: 77374
36;77388;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 77388 NºSérie da Baioneta: 77388
37;77497;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 77497 NºSérie da Baioneta: 77497
38;77502;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 77502 NºSérie da Baioneta: 77502
39;77523;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 77523 NºSérie da Baioneta: 77523
40;77678;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 77678 NºSérie da Baioneta: 77678
41;80144;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 80144 NºSérie da Baioneta:80144
42;80149;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 80149 NºSérie da Baioneta:80149
43;80172;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 80172 NºSérie da Baioneta:80172
44;80183;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 80183 NºSérie da Baioneta:80183
45;80211;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 80211 NºSérie da Baioneta:80211
46;80309;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 80309 NºSérie da Baioneta:80309
47;80363;7,62 MM;M964 A1 PARAFAL;IMBEL;Fuzil 7,62mm;NºSérie do Ferrolho e Impulsor do Ferrolho: 80363 NºSérie da Baioneta:80363
